topic,sourceName,src,seriesName,ser,defaultSeries,defaultClass,infoURL,defaultVer
Organism distribution,The Paleobiology Database,pbdb,Denormalized taxon table,taxa,FALSE,data.frame,https://chronosphere-portal.org/pbdb/taxa,20260809
Geochemistry,PhanSST - A global database of Phanerozoic sea surface temperature proxy data,PhanSST,Database,db,TRUE,data.frame,,v0.0.1-beta 
Paleogeography,Data and code for 'Thermal niches of planktonic foraminifera are static throughout glacial–interglacial climate change',REF-antell2021thermal,Had-CM3 Temperature reconstructions for the past 800ka,800ka_temp_ymm,TRUE,data.frame,,1
Organism distribution,Data from Ecological structure of diversity-dependent diversification in Phanerozoic marine bivalves by,REF-foote2024bivalves,Intervals of first and last appearance of bivalve genera from Ecological structure of diversity-dependent diversification in Phanerozoic marine bivalves,ranges,TRUE,data.frame,,1
Organism distribution,Data from Ecological structure of diversity-dependent diversification in Phanerozoic marine bivalves by,REF-foote2024bivalves,Geological time scale used for this study from Ecological structure of diversity-dependent diversification in Phanerozoic marine bivalves,timescale,FALSE,data.frame,,1
Geochemistry,Ocean temperatures through the Phanerozoic reassessed,REF-grossman2022temperatures,Appendix 1. Oxygen and carbon isotopic compositions of biogenic carbonates and sample information.,carbonates,TRUE,data.frame,https://chronosphere.info/data/REF-grossman2022temperatures/carbonates/,1.1
Geochemistry,Ocean temperatures through the Phanerozoic reassessed,REF-grossman2022temperatures,Appendix 2. Oxygen isotope compositions of biogenic phosphates and sample information.,phosphates,FALSE,data.frame,https://chronosphere.info/data/REF-grossman2022temperatures/phosphates/,1.1
Paleogeography,Phanerozoic paleotemperatures: The earth’s changing climate during the last 540 million years,REF-scotese2021paleotemperatures,Supplementary material Part 4. Phanerozoic Paleotemperature (master sheet),master,TRUE,data.frame,https://chronosphere.info/data/REF-scotese2021paleotemperatures/master/,4
Geochemistry,Temperature data from Song et al.,REF-song2019temperature,Dataset S1 - Oxygen Isotope Dataset,oxygen-isotopes,TRUE,data.frame,https://chronosphere.info/data/REF-song2019temperature/oxygen-isotopes/,1
Geochemistry,Temperature data from Song et al.,REF-song2019temperature,Table S3. Sea surface temperatures and atmospheric CO2 concentrations per ten million years in the Phanerozoic,pCO2,FALSE,data.frame,https://chronosphere.info/data/REF-song2019temperature/pCO2/,1
