"name","name_on_ukrainian_wikipedia","administrative_division","popu_lation_2022_esti_mates_1","popu_lation_2001_census_7","popu_lationchange","full_name","lat","long"
"Starokostiantyniv","Старокостянтинів","Khmelnytskyi",33921,35206,-3.65,"Starokostiantyniv, Ukraine",49.7544639,27.2057146
"Bila Tserkva","Біла Церква","Kyiv",207273,200131,3.57,"Bila Tserkva, Ukraine",49.811213,30.108923
"Boryspil","Бориспіль","Kyiv",64117,53975,18.79,"Boryspil, Ukraine",50.3514296,30.9546066
"Boiarka","Боярка","Kyiv",34394,35968,-4.38,"Boiarka, Ukraine",50.311043,30.308241
"Brovary","Бровари","Kyiv",109806,86839,26.45,"Brovary, Ukraine",50.51809,30.80671
"Bucha","Буча","Kyiv",37321,28533,30.8,"Bucha, Ukraine",50.5501533,30.2238803
"Fastiv","Фастів","Kyiv",44014,51976,-15.32,"Fastiv, Ukraine",50.076735,29.922759
"Irpin","Ірпінь","Kyiv",65167,40593,60.54,"Irpin, Ukraine",50.5201476,30.2389582
"Obukhiv","Обухів","Kyiv",33287,32776,1.56,"Obukhiv, Ukraine",50.1100967,30.6264969
"Pereiaslav","Переяслав","Kyiv",26273,31634,-16.95,"Pereiaslav, Ukraine",50.0694496,31.4571723
"Slavutych","Славутич","Kyiv",24464,24402,0.25,"Slavutych, Ukraine",51.5233066,30.7472455
"Vasylkiv","Васильків","Kyiv",37068,39722,-6.68,"Vasylkiv, Ukraine",50.1775509,30.3179483
"Vyshhorod","Вишгород","Kyiv",33109,22933,44.37,"Vyshhorod, Ukraine",50.5900296,30.4877648
"Vyshneve","Вишневе","Kyiv",42983,34465,24.71,"Vyshneve, Ukraine",50.386975,30.382429
"Kropyvnytskyi","Кропивницький","Kirovohrad",219676,254103,-13.55,"Kropyvnytskyi, Ukraine",48.5169195,32.2525695
"Oleksandriia","Олександрія","Kirovohrad",76097,93357,-18.49,"Oleksandriia, Ukraine",48.6732915,33.1163471
"Svitlovodsk","Світловодськ","Kirovohrad",43130,50094,-13.9,"Svitlovodsk, Ukraine",49.039016,33.215395
"Znamianka","Знам'янка","Kirovohrad",21221,29412,-27.85,"Znamianka, Ukraine",48.7172486,32.6745982
"Alchevsk","Алчевськ","Luhansk",106062,119193,-11.02,"Alchevsk, Ukraine",48.475101,38.79957
